Date,Open,High,Low,Close,Adj Close,Volume
09-May-25,17.72,17.76,17.41,17.49,17.49,"8,642,400"
08-May-25,17.67,17.77,17.45,17.49,17.49,"11,433,300"
07-May-25,17.69,17.76,17.63,17.71,17.71,"5,479,000"
06-May-25,17.85,17.99,17.74,17.77,17.77,"8,333,400"
05-May-25,17.84,17.98,17.84,17.85,17.85,"5,659,500"
02-May-25,17.87,18.02,17.87,17.88,17.88,"8,940,500"
01-May-25,17.72,17.76,17.59,17.6,17.6,"7,752,700"
30-Apr-25,17.55,17.62,17.29,17.6,17.6,"7,085,500"
29-Apr-25,17.43,17.65,17.36,17.57,17.57,"7,769,600"
28-Apr-25,17.36,17.45,17.15,17.33,17.33,"7,546,900"
25-Apr-25,17.4,17.44,17.26,17.4,17.4,"7,574,000"
24-Apr-25,17.27,17.45,17.24,17.36,17.36,"10,165,700"
23-Apr-25,17.36,17.55,17.18,17.23,17.23,"12,569,300"
22-Apr-25,16.66,16.93,16.66,16.86,16.86,"10,459,300"
21-Apr-25,16.86,16.88,16.39,16.58,16.58,"20,614,300"
17-Apr-25,16.22,16.45,15.82,16.14,16.14,"20,714,100"
16-Apr-25,16.6,16.85,16.53,16.58,16.58,"21,244,700"
15-Apr-25,16.89,17.06,16.86,17.03,17.03,"16,826,200"
14-Apr-25,17.17,17.17,16.88,17.01,17.01,"20,142,000"
11-Apr-25,16.76,16.95,16.48,16.88,16.88,"15,133,500"
10-Apr-25,17.26,17.31,16.5,16.98,16.98,"25,884,800"
09-Apr-25,16.15,17.77,16.15,17.66,17.66,"20,797,800"
08-Apr-25,17.04,17.17,16.23,16.42,16.42,"12,944,700"
07-Apr-25,16.41,17.43,16.35,16.78,16.78,"23,309,900"
04-Apr-25,16.8,16.9,16.5,16.58,16.58,"19,389,000"
03-Apr-25,17.56,17.75,17.28,17.35,17.35,"16,271,300"
02-Apr-25,18.15,18.43,18.12,18.39,18.39,"9,782,300"
01-Apr-25,18.19,18.21,17.95,18.2,18.2,"13,574,900"
31-Mar-25,18,18.29,17.87,18.25,18.25,"12,408,200"
28-Mar-25,18.37,18.48,18.11,18.17,18.17,"7,866,100"
27-Mar-25,18.7,18.78,18.6,18.67,18.67,"6,249,500"
26-Mar-25,18.62,18.79,18.6,18.66,18.66,"7,391,100"
25-Mar-25,18.89,19.02,18.79,18.83,18.83,"11,605,900"
24-Mar-25,18.63,18.63,18.5,18.59,18.59,"7,515,800"
21-Mar-25,18.41,18.43,18.17,18.32,18.32,"18,677,600"
20-Mar-25,18.33,18.39,17.9,18.06,18.06,"19,376,100"
19-Mar-25,18.54,18.67,18.44,18.57,18.57,"9,710,800"
18-Mar-25,18.69,18.69,18.39,18.45,18.45,"13,070,400"
17-Mar-25,18.59,18.7,18.39,18.57,18.57,"10,044,500"
14-Mar-25,18.38,18.46,18.26,18.4,18.4,"7,767,300"
13-Mar-25,18.5,18.59,18.26,18.29,18.29,"10,913,500"
12-Mar-25,18.49,18.65,18.34,18.5,18.5,"15,292,400"
11-Mar-25,19.13,19.2,18.81,18.97,18.97,"17,695,000"
10-Mar-25,19.75,19.79,19.36,19.44,19.44,"14,185,200"
07-Mar-25,19.6,19.87,19.51,19.86,19.86,"15,923,200"
06-Mar-25,19.98,20.03,19.68,19.75,19.75,"11,306,000"
05-Mar-25,20.08,20.19,19.92,20.06,20.06,"12,466,000"
04-Mar-25,19.66,19.93,19.56,19.71,19.71,"13,778,200"
03-Mar-25,20.07,20.19,19.79,19.83,19.83,"9,916,000"
28-Feb-25,19.84,20.1,19.7,20.1,20.1,"17,385,600"
27-Feb-25,20.76,20.8,20.49,20.5,20.5,"10,206,600"
26-Feb-25,20.78,20.97,20.72,20.77,20.77,"9,233,300"
25-Feb-25,20.75,20.82,20.61,20.77,20.77,"9,215,000"
24-Feb-25,20.66,20.85,20.62,20.83,20.83,"12,509,400"
21-Feb-25,21.19,21.28,21.1,21.17,21.17,"13,778,200"
20-Feb-25,21.27,21.37,21.13,21.35,21.35,"10,776,600"
19-Feb-25,21.19,21.21,21,21.21,21.21,"11,414,600"
18-Feb-25,21.47,21.47,21.17,21.41,21.41,"10,779,700"
14-Feb-25,21.73,21.75,21.54,21.57,21.57,"7,038,100"
13-Feb-25,21.58,21.76,21.5,21.74,21.74,"9,916,700"
12-Feb-25,21.59,21.75,21.51,21.75,21.75,"5,914,200"
11-Feb-25,21.75,21.99,21.64,21.97,21.97,"8,557,800"
10-Feb-25,21.8,21.88,21.71,21.87,21.87,"9,249,900"
07-Feb-25,22.19,22.19,21.65,21.83,21.83,"9,618,000"
06-Feb-25,22.38,22.4,22.09,22.24,22.24,"9,375,200"
05-Feb-25,22.12,22.33,22.02,22.31,22.31,"9,910,900"
04-Feb-25,22,22.4,22,22.38,22.38,"9,778,200"
03-Feb-25,21.58,22.09,21.58,21.99,21.99,"10,983,000"
31-Jan-25,21.92,22.05,21.82,21.95,21.95,"9,751,700"
30-Jan-25,21.73,22.07,21.7,21.82,21.82,"6,800,600"
29-Jan-25,21.74,21.82,21.59,21.7,21.7,"8,351,400"
28-Jan-25,21.41,21.56,21.32,21.53,21.53,"14,719,300"
27-Jan-25,21.23,21.63,21.23,21.54,21.54,"9,588,900"
24-Jan-25,21.74,21.85,21.67,21.68,21.68,"7,612,600"
23-Jan-25,21.58,21.8,21.52,21.78,21.78,"10,751,800"
22-Jan-25,21.44,21.69,21.33,21.61,21.61,"9,311,600"
21-Jan-25,21.1,21.17,20.93,21.15,21.15,"18,004,300"
17-Jan-25,21.24,21.5,21.11,21.19,21.19,"13,512,700"
16-Jan-25,22.6,22.6,21.31,21.57,21.57,"22,922,700"
15-Jan-25,22.72,22.97,22.64,22.89,22.89,"9,229,900"
14-Jan-25,22.58,22.7,22.49,22.51,22.51,"13,923,400"
13-Jan-25,22.52,22.78,22.48,22.69,22.69,"11,561,800"
10-Jan-25,22.85,23.19,22.7,22.7,22.7,"7,409,000"
08-Jan-25,22.59,22.81,22.55,22.78,22.78,"6,199,700"
07-Jan-25,22.67,22.88,22.53,22.61,22.61,"5,150,400"
06-Jan-25,22.58,22.81,22.58,22.75,22.75,"4,862,600"
03-Jan-25,22.52,22.66,22.45,22.63,22.63,"3,810,700"
02-Jan-25,22.75,22.82,22.49,22.62,22.62,"6,556,200"
31-Dec-24,22.15,22.19,21.89,21.92,21.92,"2,304,300"
30-Dec-24,22.22,22.22,21.89,22.1,22.1,"4,830,800"
27-Dec-24,22.59,22.7,22.3,22.48,22.48,"4,339,900"
26-Dec-24,22.64,22.76,22.6,22.64,22.64,"3,440,300"
24-Dec-24,22.58,22.82,22.55,22.77,22.77,"2,051,600"
23-Dec-24,22.73,22.84,22.51,22.78,22.78,"3,622,600"
