Date,Open,High,Low,Close,Volume
09-May-25,667.5,711,666,708.5,"40,183,276"
08-May-25,700,704.5,677.2,682.85,"29,315,465"
07-May-25,642,682.5,641.15,680.3,"30,390,515"
06-May-25,661.55,663.2,645.5,648.2,"12,718,175"
05-May-25,662.95,666.65,655.85,661.55,"8,868,484"
02-May-25,641,661.35,635.55,649.1,"11,488,717"
30-Apr-25,667,667,641.1,644.25,"19,485,917"
29-Apr-25,671.45,682.9,661.6,665.6,"13,754,685"
28-Apr-25,654.3,669.6,652.55,668.15,"10,243,493"
25-Apr-25,668.35,673,651.5,655.25,"13,207,043"
24-Apr-25,660.1,671,660.1,668.35,"15,172,229"
23-Apr-25,635.95,661.5,633.35,659.9,"23,390,570"
22-Apr-25,630.25,633.95,626.2,630.85,"10,292,748"
21-Apr-25,624.6,635.75,620.2,630.05,"12,785,568"
17-Apr-25,616.05,627,608.25,621.55,"14,342,652"
16-Apr-25,625,625,613.6,616.05,"12,318,376"
15-Apr-25,614,628.3,612.65,622.2,"19,722,072"
11-Apr-25,610,612.8,591,595.05,"21,055,814"
09-Apr-25,588,594.9,581.05,582.9,"17,483,412"
08-Apr-25,591.2,606.6,584.2,588.85,"20,987,855"
07-Apr-25,560.5,582,535.75,579.75,"49,463,598"
04-Apr-25,650,650,610,613.85,"26,621,179"
03-Apr-25,660,669,652.5,653.95,"13,473,832"
02-Apr-25,674.95,675.35,662.1,671.9,"8,025,225"
01-Apr-25,670.55,681.85,665.75,671.85,"9,594,669"
28-Mar-25,671.85,684.95,669.3,674.45,"16,013,687"
27-Mar-25,668,676.6,661.1,668.55,"34,238,666"
26-Mar-25,710.3,717.85,707,708.25,"9,363,180"
25-Mar-25,719,723.05,706.35,710.3,"13,617,465"
24-Mar-25,710,717.5,702.05,713.5,"11,671,359"
21-Mar-25,693,705,688.55,702.95,"14,823,483"
20-Mar-25,685,692.7,679,690.05,"9,712,600"
19-Mar-25,685.4,685.75,678.55,682.25,"9,338,414"
18-Mar-25,661.05,661.05,661.05,661.05,-
17-Mar-25,665.05,666.45,657.45,661.05,"9,174,398"
13-Mar-25,670.65,671.85,649.6,655.5,"14,004,345"
12-Mar-25,654.5,671.9,652.25,668.3,"18,732,785"
11-Mar-25,640,651.15,638.45,648.05,"9,534,750"
10-Mar-25,648.3,654.25,643.35,648.15,"10,309,166"
07-Mar-25,640,651.5,635,648.3,"10,123,450"
06-Mar-25,653.25,655.95,635.6,639.65,"16,991,501"
05-Mar-25,619,641.6,618.6,640.8,"12,373,061"
04-Mar-25,613.45,629.15,613,619.2,"11,878,225"
03-Mar-25,620.65,626.85,606.3,621.15,"18,362,700"
28-Feb-25,645,645,618.45,620.65,"20,477,619"
27-Feb-25,662,665,645.65,648.55,"12,281,857"
25-Feb-25,667.75,672.5,660,661.6,"10,251,257"
24-Feb-25,670,676.6,666,668.25,"8,861,769"
21-Feb-25,686,690,671.1,673.2,"14,577,524"
20-Feb-25,680,692.85,675,689.8,"8,673,335"
19-Feb-25,681.75,690.95,675.05,681,"9,986,815"
18-Feb-25,686.6,687.95,672.15,682.4,"7,810,143"
17-Feb-25,678,690.7,667.05,686.6,"10,313,575"
14-Feb-25,685.95,690.95,669.15,680.65,"9,968,127"
13-Feb-25,684.35,693.15,679.35,683.85,"8,490,769"
12-Feb-25,680,687.55,667.05,684.35,"12,312,424"
11-Feb-25,696,697,675.1,677.75,"11,939,990"
10-Feb-25,709.75,709.9,693.05,696,"10,981,963"
07-Feb-25,711,715.95,703.1,706.75,"12,259,132"
06-Feb-25,723,723.4,708.15,709.65,"10,016,927"
05-Feb-25,711,725.45,710.7,717.05,"12,907,325"
04-Feb-25,696.3,713.35,693.75,710.55,"16,792,005"
03-Feb-25,700,700,686,687.45,"17,806,760"
01-Feb-25,719.5,724.75,700.9,706.55,"14,087,493"
31-Jan-25,706,717,696.45,716.1,"19,157,717"
30-Jan-25,709,710.7,683.2,696.85,"59,390,998"
29-Jan-25,731.5,755,726.55,752.5,"12,461,404"
28-Jan-25,716.5,740.85,707.5,728.25,"16,104,653"
27-Jan-25,732.95,732.95,709.3,713.05,"14,123,990"
24-Jan-25,750.05,754.15,732.2,734.1,"9,513,166"
23-Jan-25,742.75,759.7,739.8,752.5,"7,916,689"
